"","Student ID","Gender","First Generation Indicator","Term Code","Cum UG Crs GPA"
"422",8161157,"Male","First Generation College Stdnt","202320",3.39
"423",8161157,"Male","First Generation College Stdnt","202410",3.39
"424",8161399,"Female","Not First Generation College Stdnt","202310",3.8
"425",8161399,"Female","Not First Generation College Stdnt","202320",3.73
"426",8161399,"Female","Not First Generation College Stdnt","202410",3.74
"427",8161439,"Male","Not First Generation College Stdnt","202310",2.9
"428",8161439,"Male","Not First Generation College Stdnt","202320",2.95
"429",8161439,"Male","Not First Generation College Stdnt","202410",2.95
"430",8161724,"Female","Not First Generation College Stdnt","202310",3.96
"431",8161724,"Female","Not First Generation College Stdnt","202320",3.92
"432",8161724,"Female","Not First Generation College Stdnt","202410",3.92
"433",8161896,"Male","Not First Generation College Stdnt","202310",4
"434",8161896,"Male","Not First Generation College Stdnt","202320",4
"435",8161896,"Male","Not First Generation College Stdnt","202410",4
"436",8161990,"Female","Not First Generation College Stdnt","202310",3.11
"437",8161990,"Female","Not First Generation College Stdnt","202320",3.31
"438",8161990,"Female","Not First Generation College Stdnt","202410",3.31
"439",8162281,"Male","Not First Generation College Stdnt","202310",3.92
"440",8162281,"Male","Not First Generation College Stdnt","202320",3.96
"441",8162281,"Male","Not First Generation College Stdnt","202410",3.96
"442",8162853,"Male","Not First Generation College Stdnt","202310",2.63
"443",8162853,"Male","Not First Generation College Stdnt","202320",2.88
"444",8162853,"Male","Not First Generation College Stdnt","202410",2.89
"445",8162906,"Male","Not First Generation College Stdnt","202310",3.49
"446",8162906,"Male","Not First Generation College Stdnt","202320",3.57
"447",8162906,"Male","Not First Generation College Stdnt","202410",3.57
"448",8162918,"Male","Not First Generation College Stdnt","202310",3.94
"449",8162918,"Male","Not First Generation College Stdnt","202320",3.19
"450",8162918,"Male","Not First Generation College Stdnt","202410",3.19
"451",8162961,"Female","Not First Generation College Stdnt","202310",3.92
"452",8162961,"Female","Not First Generation College Stdnt","202320",3.88
"453",8162961,"Female","Not First Generation College Stdnt","202410",3.88
"454",8163008,"Male","Not First Generation College Stdnt","202310",4
"455",8163008,"Male","Not First Generation College Stdnt","202320",3.93
"456",8163008,"Male","Not First Generation College Stdnt","202410",3.93
"457",8163102,"Male","Not First Generation College Stdnt","202310",3.28
"458",8163102,"Male","Not First Generation College Stdnt","202320",3.4
"459",8163102,"Male","Not First Generation College Stdnt","202410",3.4
"460",8163147,"Male","Not First Generation College Stdnt","202310",4
"461",8163147,"Male","Not First Generation College Stdnt","202320",4
"462",8163147,"Male","Not First Generation College Stdnt","202410",4
"463",8163182,"Male","Not First Generation College Stdnt","202310",2.86
"464",8163182,"Male","Not First Generation College Stdnt","202320",3.14
"465",8163182,"Male","Not First Generation College Stdnt","202410",3.14
"466",8163195,"Male","Not First Generation College Stdnt","202310",3.16
"467",8163195,"Male","Not First Generation College Stdnt","202320",3.23
"468",8163195,"Male","Not First Generation College Stdnt","202410",3.23
"469",8163233,"Female","Not First Generation College Stdnt","202310",3.65
"470",8163233,"Female","Not First Generation College Stdnt","202320",3.59
"471",8163233,"Female","Not First Generation College Stdnt","202410",3.59
"472",8163402,"Female","Not First Generation College Stdnt","202310",4
"473",8163402,"Female","Not First Generation College Stdnt","202320",4
"474",8163402,"Female","Not First Generation College Stdnt","202410",4
"475",8163696,"Female","Not First Generation College Stdnt","202310",3.39
"476",8163696,"Female","Not First Generation College Stdnt","202320",3.5
"477",8163696,"Female","Not First Generation College Stdnt","202410",3.5
"478",8163731,"Female","Not First Generation College Stdnt","202310",3.92
"479",8163731,"Female","Not First Generation College Stdnt","202320",3.66
"480",8163731,"Female","Not First Generation College Stdnt","202410",3.66
"481",8163855,"Female","Not First Generation College Stdnt","202310",3.92
"482",8163855,"Female","Not First Generation College Stdnt","202320",3.96
"483",8163855,"Female","Not First Generation College Stdnt","202410",3.94
"484",8163932,"Male","Not First Generation College Stdnt","202310",3.42
"485",8163932,"Male","Not First Generation College Stdnt","202320",3.34
